Населено място,Географска ширина,Географска дължина
Единбург,55.95105,-3.1779698
Лондон,51.4999859,-0.1795568
Лондон,51.4999859,-0.1795568
Лондон,51.4999859,-0.1795568
Лондон,51.4999859,-0.1795568
Лондон,51.4999859,-0.1795568
Лондон,51.4999859,-0.1795568
Лондон,51.4999859,-0.1795568
Арма,54.3570424,-6.6606463
Бирмингам,52.4754768,-1.9003098
Бристол,51.4553126,-2.5933932
Кеймбридж,52.1945862,0.1355312
Лондон,51.5390181,0.0782461
Лондон,51.4119912,0.0213691
Лондон,51.5134023,-0.3080239
Лондон,51.6161497,-0.1091948
Лондон,51.5491793,-0.0068744
Лондон,51.3910052,-0.320819
Лондон,51.4193577,-0.1946999
Лондон,51.581356,-0.0346
Лутън,51.8759757,-0.4186991
Манчестър,53.5055213,-2.2587811
Мейдстоун,51.2554876,0.5433909
Норич,52.6319985,1.2987161
Нотингам,52.9701688,-1.1532246
Рединг,51.4563735,-0.9673727
Саутхемптън,50.8994283,-1.4094081
Хъл,53.7474704,-0.3481481
